"ID";"NumberOfParkingMeter";"global_id";"AdmArea";"District";"StreetName";"Location";"longitude";"latitude";"ParkingZoneNumber";"geoData";
"1664";"Паркомат № 2278";"282084461";"Центральный административный округ";"Басманный район";"улица Жуковского";"улица Жуковского, дом 6, строение 2";"37.645731568123";"55.763247325759";"2107";"{type=Point, coordinates=[37.6457315984133, 55.7632469576306]}";
"1665";"Паркомат № 2279";"282084462";"Западный административный округ";"район Дорогомилово";"набережная Тараса Шевченко";"набережная Тараса Шевченко, дом 35";"37.539658";"55.743817";"3211";"{type=Point, coordinates=[37.539658030513, 55.7438166315891]}";
"1666";"Паркомат № 2280";"282084464";"Центральный административный округ";"Пресненский район";"Мантулинская улица";"Мантулинская улица, дом 2";"37.55747";"55.756695";"0303";"{type=Point, coordinates=[37.5574700303519, 55.7566946316541]}";
"1667";"Паркомат № 2281";"282084465";"Центральный административный округ";"Пресненский район";"улица Николаева";"улица Николаева, дом 4";"37.568676";"55.756082";"3203";"{type=Point, coordinates=[37.5686760306987, 55.7560816316419]}";
"1668";"Паркомат № 2283";"282084466";"Центральный административный округ";"Тверской район";"2-я Миусская улица";"2-я Миусская улица, напротив дома 1";"37.589638";"55.777196";"3204";"{type=Point, coordinates=[37.5896380306594, 55.7771956317543]}";
"1669";"Паркомат № 2284";"282084468";"Западный административный округ";"район Дорогомилово";"Украинский бульвар";"Украинский бульвар, дом 4/2";"37.561818";"55.751735";"3211";"{type=Point, coordinates=[37.5618180302975, 55.7517346316211]}";
"1670";"Паркомат № 2285";"282084469";"Центральный административный округ";"район Замоскворечье";"Пятницкая улица";"Пятницкая улица, дом 39";"37.628273";"55.73792";"0309";"{type=Point, coordinates=[37.6282730304347, 55.7379196314904]}";
"1671";"Паркомат № 2286";"282084471";"Центральный административный округ";"Тверской район";"Миусская площадь";"Миусская площадь, дом 5";"37.59265";"55.778208";"3204";"{type=Point, coordinates=[37.5926500306496, 55.7782076317583]}";
"1672";"Паркомат № 2292";"282084472";"Центральный административный округ";"Басманный район";"Аптекарский переулок";"Аптекарский переулок, дом 11, строение 1";"37.6766735";"55.7684804";"3207";"{type=Point, coordinates=[37.6766735308196, 55.7684800316388]}";
"1673";"Паркомат № 2293";"282084473";"Центральный административный округ";"Тверской район";"улица Чаянова";"улица Чаянова, дом 8";"37.593835";"55.774917";"3204";"{type=Point, coordinates=[37.5938350306384, 55.7749166317376]}";
